id,vehicle_count,arriving_time,Waiting_time,label
,,,,
0,37,11-01-20 7:11,3,0
,,,,
1,94,23-07-17 18:31,22,2
,,,,
2,34,10-08-16 12:33,24,2
,,,,
3,51,30-12-13 22:30,25,2
,,,,
4,34,31-12-16 22:10,25,2
,,,,
5,91,28-05-12 15:15,20,2
,,,,
6,49,07-05-13 12:09,30,2
,,,,
7,71,07-03-10 13:46,13,1
,,,,
8,34,19-02-15 5:13,7,0
,,,,
9,46,30-06-19 10:42,21,0
,,,,
10,30,26-09-17 11:02,7,0
,,,,
11,87,08-03-12 20:51,10,0
,,,,
12,70,25-05-10 2:12,26,2
,,,,
13,55,27-10-11 10:34,5,0
,,,,
14,94,04-07-18 7:37,7,0
,,,,
15,53,09-12-15 11:19,25,2
,,,,
16,72,13-11-19 10:00,20,2
,,,,
17,91,02-03-13 9:44,8,0
,,,,
18,60,25-08-13 20:05,18,1
,,,,
19,35,28-01-10 6:15,15,1
,,,,
20,77,27-06-13 5:56,12,1
,,,,
21,34,17-09-18 5:14,11,1
,,,,
22,35,17-10-16 1:25,18,1
,,,,
23,49,19-01-20 15:03,11,1
,,,,
24,39,09-02-13 8:06,23,2
,,,,
25,51,28-09-11 20:53,6,0
,,,,
26,88,11-11-10 23:56,10,0
,,,,
27,76,08-07-19 7:12,18,1
,,,,
28,70,04-01-19 18:42,29,2
,,,,
29,65,19-01-19 16:59,5,0
,,,,
30,63,08-04-17 1:26,12,1
,,,,
31,38,30-03-10 3:11,15,1
,,,,
32,71,31-10-13 6:50,26,2
,,,,
33,55,18-07-12 13:20,12,1
,,,,
34,36,31-01-14 19:55,2,0
,,,,
35,64,19-09-12 6:42,20,0
,,,,
36,55,21-04-16 21:16,30,0
,,,,
37,43,30-04-13 8:48,25,2
,,,,
38,87,07-02-10 19:13,5,0
,,,,
39,49,14-06-19 23:20,22,2
,,,,
40,72,22-02-14 14:34,3,0
,,,,
41,34,22-03-13 10:23,11,0
,,,,
42,61,25-09-19 16:29,22,2
,,,,
43,69,09-05-11 16:05,12,1
,,,,
44,70,23-10-12 17:29,28,2
,,,,
45,37,04-10-11 3:42,25,2
,,,,
46,59,28-12-12 19:18,21,2
,,,,
47,89,19-07-19 15:57,29,2
,,,,
48,46,15-10-16 10:52,16,1
,,,,
